Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,15.0600004196167,15.100000381469727,14.979999542236328,15.079999923706055,13.646292686462402,6654400
2020-01-02,15.119999885559082,15.15999984741211,14.850000381469727,14.989999771118164,13.564847946166992,9975100
2020-01-03,14.789999961853027,14.859999656677246,14.600000381469727,14.8100004196167,13.401963233947754,7858600
2020-01-06,14.600000381469727,14.640000343322754,14.479999542236328,14.569999694824219,13.18478012084961,7198700
2020-01-07,14.470000267028809,14.569999694824219,14.3100004196167,14.40999984741211,13.03999137878418,7101800
2020-01-08,14.420000076293945,14.59000015258789,14.399999618530273,14.529999732971191,13.148584365844727,9332700
2020-01-09,14.569999694824219,14.619999885559082,14.460000038146973,14.5600004196167,13.17573070526123,5915900
2020-01-10,14.579999923706055,14.579999923706055,14.329999923706055,14.380000114440918,13.012843132019043,5809900
2020-01-13,14.430000305175781,14.5,14.350000381469727,14.460000038146973,13.08523941040039,9214100
2020-01-14,14.489999771118164,14.640000343322754,14.399999618530273,14.600000381469727,13.211929321289062,11634100
2020-01-15,14.5,14.5600004196167,14.34000015258789,14.460000038146973,13.08523941040039,12287400
2020-01-16,14.550000190734863,14.75,14.529999732971191,14.65999984741211,13.266223907470703,8456200
2020-01-17,14.739999771118164,14.770000457763672,14.609999656677246,14.710000038146973,13.311470031738281,9582900
2020-01-21,14.619999885559082,14.720000267028809,14.479999542236328,14.609999656677246,13.220976829528809,9144000
2020-01-22,14.579999923706055,14.859999656677246,14.5600004196167,14.729999542236328,13.329569816589355,16634100
2020-01-23,14.720000267028809,14.720000267028809,13.930000305175781,14.270000457763672,12.91330337524414,23476700
2020-01-24,14.270000457763672,14.3100004196167,13.680000305175781,13.720000267028809,12.415592193603516,18484800
2020-01-27,13.449999809265137,13.609999656677246,13.40999984741211,13.489999771118164,12.207459449768066,14859100
2020-01-28,13.5600004196167,13.699999809265137,13.470000267028809,13.600000381469727,12.307001113891602,10854000
2020-01-29,13.609999656677246,13.6899995803833,13.449999809265137,13.479999542236328,12.198410034179688,5976700
